"""Valid taxon",NA,NA,"""""absolute fecundity (no. oocytes)""""",NA,NA,acid_tol,"""""body length (cm)""""",NA,NA,"""""climate change affected species according to <a href=""""""""http://www.climate-and-freshwater.info"""""""" target=""""""""_blank"""""""">www.climate-and-freshwater.info</a> (caf)""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""""egg diameter (mm)""""",NA,NA,"""""feeding diet (adult)""""","""""feeding habitat""""","""""female maturity (years)""""",NA,NA,NA,NA,habitat,NA,NA,"""""habitat (fiBS)""""",NA,NA,"""""habitat degradation tolerance""""","""""HD threat""""","""""incubation period (days)""""",NA,NA,"""""larval length (cm)""""",NA,NA,"""""larval stage duration (days)""""",NA,NA,"""""length weight regression""""","""""life span (years)""""",NA,NA,migration,"""""migration (fiBS)""""",NA,NA,NA,"""""oxygen tolerance""""","""""parental care""""","""""relative fecundity (no. oocytes/g)""""",NA,NA,"""""reproduction (fiBS)""""",NA,NA,NA,NA,NA,NA,NA,NA,"""""reproduction habitat""""","""""reproductive behaviour""""","""""rheophily (habitat)""""",salinity,NA,NA,NA,NA,"""""shape factor""""",NA,NA,NA,"""""spawning habitat""""","""""spawning time""""",NA,"""""swimming factor""""",NA,NA,"""""temperature tolerance""""","""""toxicity tolerance""""","""""trophy (fiBS)""""",NA,NA,NA,NA,NA,NA,"""""water quality tolerance – general""""","""""Imported file""""",""",,"
Anguilla,anguilla,222,0,0,1,tol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,omni,ben,0,0,0,0,1,0,0,1,1,0,0,tol,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,0,0,1,dia,0,0,1,cata,tol,no,0,0,1,0,0,0,0,0,0,0,0,1,pel,sin,eury,0,0,0,1,0,0,0,0,1,limno,1,0,0,0,1,eury,tol,0,0,1,0,0,0,0,tol,Anguilla,"anguilla,,"
Atherina,boyeri,224,1,0,0,im,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,plankt,wc,1,0,0,0,0,0,0,1,NA,NA,NA,im,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,dia,NA,NA,NA,NA,im,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pro,limno,0,0,0,1,0,0,0,0,1,limno,0,1,0,1,0,eury,im,NA,NA,NA,NA,NA,NA,NA,im,Atherina,"boyeri,,"
Atherina,hepsetus,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atherina,"hepsetus,,"
Alosa,alosa,217,0,0,1,intol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,plankt,wc,0,0,0,0,1,1,0,0,0,1,0,intol,NA,1,0,0,0,0,1,1,0,0,NA,0,1,0,dia,0,0,1,ana,intol,no,0,1,0,1,0,0,0,0,0,0,0,0,NA,sin,rheo,0,0,0,1,0,0,0,0,1,rheo,1,0,1,0,0,eury,intol,0,0,0,0,0,0,1,intol,Alosa,"alosa,,"
Alosa,fallax,218,0,0,1,intol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,plankt,wc,0,0,0,0,1,1,0,0,0,1,0,im,NA,1,0,0,0,1,0,NA,NA,NA,NA,0,1,0,dia,0,1,0,ana,intol,no,0,1,0,0,0,0,0,0,1,0,0,0,NA,sin,rheo,1,0,0,0,0,0,1,0,0,rheo,1,0,1,0,0,eury,im,0,0,0,0,0,0,1,intol,Alosa,"fallax,,"
Alosa,immaculata,443,0,0,1,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wc,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,dia,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,limno,0,0,0,1,0,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alosa,"immaculata,,"
Alosa,tanaica,375,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,dia,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,limno,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alosa,"tanaica,,"
Clupeonella,cultriventris,809,1,0,0,intol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plankt,wc,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,dia,NA,NA,NA,NA,tol,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eury,0,0,0,1,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,eury,NA,NA,NA,NA,NA,NA,NA,NA,tol,Clupeonella,"cultriventris,,"
Cobitis,bilineata,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cobitis,"bilineata,,"
Cobitis,elongata,382,NA,NA,NA,intol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ben,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,tol,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rheo,1,0,0,0,0,NA,NA,NA,NA,eury,1,0,NA,NA,NA,eury,NA,NA,NA,NA,NA,NA,NA,NA,tol,Cobitis,"elongata,,"
"""Cobitis",elongatoides,383,NA,NA,NA,intol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,ben,NA,NA,NA,NA,NA,0,0,1,0,1,0,tol,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nom,1,0,0,NA,im,no,NA,NA,NA,0,0,0,1,0,0,0,0,0,psam,fra,"""""rheo A""""",1,0,0,0,0,NA,NA,NA,NA,eury,NA,NA,NA,NA,NA,eury,NA,0,0,0,1,0,0,0,im,Cobitis,"elongatoides"",,"
Cobitis,strumicae,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cobitis,"strumicae,,"
Cobitis,taenia,236,1,0,0,intol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,invert,ben,0,1,0,0,0,0,1,0,0,1,0,im,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,pot,1,0,0,NA,im,no,NA,NA,NA,0,0,0,1,0,0,0,0,0,NA,fra,rheo,1,0,0,0,0,0,0,0,1,eury,0,1,0,0,1,eury,im,0,0,0,1,0,0,0,im,Cobitis,"taenia,,"
Misgurnus,anguillicaudatus,365,1,0,0,im,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,invert,ben,0,1,0,0,0,0,0,1,NA,NA,NA,tol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,tol,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sin,eury,1,0,0,0,0,NA,NA,NA,NA,limno,1,0,NA,NA,NA,eury,NA,NA,NA,NA,NA,NA,NA,NA,tol,Misgurnus,"anguillicaudatus,,"
Misgurnus,fossilis,264,0,0,1,tol,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,invert,ben,NA,NA,NA,NA,NA,0,0,1,0,0,1,intol,II,0,1,0,NA,NA,NA,1,0,0,"0,000007*(x^3,0943)",NA,NA,NA,nom,1,0,0,NA,tol,no,0,0,1,0,0,0,1,0,0,0,0,0,phy,sin,limno,1,0,0,0,0,0,0,0,1,limno,NA,NA,0,0,1,eury,tol,0,0,0,1,0,0,0,tol,Misgurnus,fossilis
"""Sabanejewia",balcanica,410,NA,NA,NA,im,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,ben,NA,NA,NA,NA,NA,0,0,1,0,1,0,intol,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nom,1,0,0,NA,intol,no,NA,NA,NA,0,0,0,1,0,0,0,0,0,phylith,fra,"""""rheo B""""",1,0,0,0,0,NA,NA,NA,NA,eury,1,0,NA,NA,NA,eury,im,0,0,0,1,0,0,0,im,Sabanejewia,"balcanica"",,"
Sabanejewia,baltica,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sabanejewia,"baltica,,"
Sabanejewia,larvata,561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,ben,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,intol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,im,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sin,eury,NA,NA,NA,NA,NA,NA,NA,NA,NA,limno,NA,NA,NA,NA,NA,steno,intol,NA,NA,NA,NA,NA,NA,NA,im,Sabanejewia,"larvata,,"
"""Abramis",brama,210,0,0,1,intol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,omni,ben,0,0,0,1,0,0,1,0,1,0,0,tol,NA,0,1,0,0,1,0,NA,NA,NA,NA,0,0,1,pot,1,0,0,NA,tol,no,1,0,0,0,0,0,0,1,0,0,0,0,phylith,sin,"""""rheo B""""",0,1,0,0,0,1,0,0,0,eury,1,0,1,0,0,eury,tol,0,0,0,0,1,0,0,tol,Abramis,"brama"",,"
Alburnoides,bipunctatus,215,1,0,0,intol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,invert,wc,0,1,0,0,0,0,1,0,0,1,0,intol,NA,0,1,0,NA,NA,NA,NA,NA,NA,"0,00001*(x^3,""0125)",1,0,0,pot,1,0,0,NA,intol,no,0,1,0,1,0,0,0,0,0,0,0,0,lith,fra,"""""rheo A""""",0,1,0,0,0,1,0,0,0,rheo,0,1,1,0,0,steno,im,0,0,0,1,0,0,0,intol,Alburnoides,"bipunctatus"""
Alburnus,alburnus,216,0,1,0,tol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,omni,wc,0,1,0,0,0,0,1,0,1,0,0,tol,NA,0,0,1,0,1,0,NA,NA,NA,NA,1,0,0,pot,1,0,0,NA,im,no,0,0,1,0,0,0,0,1,0,0,0,0,phylith,fra,eury,0,1,0,0,0,0,0,1,0,eury,0,1,1,0,0,eury,im,0,0,0,0,1,0,0,tol,Alburnus,"alburnus,,"
Alburnus,arborella,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alburnus,"arborella,,"
"""Ballerus",ballerus,369,1,0,0,intol,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,planct,wc,0,0,0,1,0,0,1,0,0,1,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,pot,1,0,0,NA,im,no,NA,NA,NA,0,0,0,0,1,0,0,0,0,lith,NA,"""""rheo B""""",0,1,0,0,0,NA,NA,NA,NA,eury,1,0,NA,NA,NA,eury,im,0,0,0,1,0,0,0,tol,Ballerus,"ballerus"",,"
Ballerus,sapa,211,0,1,0,intol,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,ben,0,0,0,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,000004*(x^3,""1895)",0,1,0,pot,1,0,0,NA,tol,no,NA,NA,NA,1,0,0,0,0,0,0,0,0,lith,NA,"""""rheo B""""",0,1,0,0,0,1,0,0,0,rheo,1,0,1,0,0,eury,tol,0,0,0,1,0,0,0,tol,Ballerus,"sapa"""
"""Barbus",balcanicus,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pot,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lith,NA,"""""rheo A""""",1,0,0,0,0,NA,NA,NA,NA,rheo,NA,NA,NA,NA,NA,eury,NA,NA,NA,NA,NA,NA,NA,NA,NA,Barbus,"balcanicus"",,"
"""Barbus",barbus,227,1,0,0,intol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,invert,ben,0,0,0,0,1,0,1,0,0,1,0,intol,V,0,1,0,0,0,1,NA,NA,NA,NA,0,0,1,pot,0,1,0,NA,im,no,NA,NA,NA,1,0,0,0,0,0,0,0,0,lith,fra,"""""rheo A""""",1,0,0,0,0,0,0,1,0,rheo,1,0,1,0,0,eury,im,0,0,0,1,0,0,0,intol,Barbus,"barbus"",,"
"""Barbus",meridionalis,228,NA,NA,NA,intol,0,1,0,0,0,1,0,0,0,0,0,0,"""""toxic substances""""",loser,NA,NA,NA,invert,ben,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,intol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,nom,NA,NA,NA,NA,im,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sin,rheo,1,0,0,0,0,0,1,0,0,rheo,0,1,0,1,0,eury,intol,NA,NA,NA,NA,NA,NA,NA,intol,Barbus,"meridionalis"",,"
Barbus,peloponnesius,378,NA,NA,NA,intol,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,ben,1,0,0,0,0,0,1,0,NA,NA,NA,intol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,intol,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fra,rheo,1,0,0,0,0,NA,NA,NA,NA,rheo,1,0,NA,NA,NA,eury,im,NA,NA,NA,NA,NA,NA,NA,im,Barbus,"peloponnesius,,"
Barbus,plebejus,330,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,omni,ben,0,0,0,0,1,0,1,0,NA,NA,NA,im,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,pot,NA,NA,NA,NA,im,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lith,sin,rheo,1,0,0,0,0,NA,NA,NA,NA,rheo,NA,NA,NA,NA,NA,eury,im,NA,NA,NA,NA,NA,NA,NA,im,Barbus,"plebejus,,"
Blicca,bjoerkna,229,0,1,0,intol,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,omni,ben,0,0,1,0,0,0,0,1,1,0,0,tol,NA,0,1,0,0,1,0,NA,NA,NA,NA,1,0,0,pot,1,0,0,NA,tol,no,0,1,0,0,0,0,1,0,0,0,0,0,phylith,pro,eury,1,0,0,0,0,1,0,0,0,eury,0,1,1,0,0,eury,tol,0,0,0,0,1,0,0,tol,Blicca,"bjoerkna,,"
Carassius,auratus,230,0,1,0,tol,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,omni,ben,0,0,1,0,0,0,0,1,NA,NA,NA,tol,NA,1,0,0,1,0,0,NA,NA,NA,NA,0,0,1,pot,NA,NA,NA,NA,tol,no,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,phy,fra,eury,1,0,0,0,0,1,0,0,0,limno,0,1,0,1,0,eury,tol,NA,NA,NA,NA,NA,NA,NA,tol,Carassius,"auratus,,"
Carassius,carassius,231,0,0,1,im,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,omni,ben,1,0,0,0,0,0,0,1,0,0,1,tol,NA,1,0,0,0,1,0,NA,NA,NA,"0,00003*(x^2,8133)",NA,NA,NA,pot,1,0,0,NA,tol,no,0,1,0,0,0,0,1,0,0,0,0,0,phy,fra,limno,1,0,0,0,0,1,0,0,0,limno,0,1,0,0,1,eury,tol,0,0,0,0,1,0,0,tol,Carassius,carassius
Carassius,gibelio,232,NA,NA,NA,im,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,omni,ben,NA,NA,NA,NA,NA,0,1,0,1,0,0,tol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00001*(x^3,0179)",0,1,0,pot,1,0,0,NA,tol,no,0,1,0,0,0,0,0,1,0,0,0,0,phylith,fra,eury,0,1,0,0,0,1,0,0,0,limno,1,0,0,0,1,eury,tol,0,0,0,0,1,0,0,tol,Carassius,gibelio
